Honey,I'm Good	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 3
Hotline Bling	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Intro
Hotline Bling	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Hotline Bling	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Hotline Bling	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Lean On	Background Vocals	Verse 1
Lean On	Background Vocals,Creatively Sung Vocals	Pre-Chorus 1
Lean On	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 1
Lean On	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 1
Lean On	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Lean On	Background Vocals	Pre-Chorus 2
Lean On	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 2
Lean On	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Lean On	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 2
Lean On	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 3
Lean On	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Turnaround 1
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Like I'm Gonna Lose You	Nonsense Vocals (lead and/or background)	Inst. Break 1
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Pre-Chorus 2
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Like I'm Gonna Lose You	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Locked Away	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Locked Away	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Locked Away	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Locked Away	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Locked Away	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Locked Away	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Locked Away	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Locked Away	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Locked Away	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Locked Away	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Turnaround 1
Locked Away	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Turnaround 2
Love Me Like You Do	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal	Chorus 1
Love Me Like You Do	Nonsense Vocals (lead and/or background)	Outro
Love Me Like You Do	Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Love Me Like You Do	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Love Me Like You Do	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
Love Me Like You Do	Nonsense Vocals (lead and/or background)	Turnaround 1
Love Yourself	Background Vocals	Pre-Chorus 1
Love Yourself	Background Vocals	Chorus 1
Love Yourself	Nonsense Vocals (lead and/or background)	Inst. Break 1
Love Yourself	Background Vocals	Pre-Chorus 2
Love Yourself	Background Vocals	Chorus 2
Love Yourself	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
My Way	Background Vocals,Nonsense Vocals (lead and/or background)	Intro
My Way	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
My Way	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
My Way	Background Vocals,Repeat/Call and Response Vocals	Verse 2
My Way	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Perfect	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Perfect	Background Vocals	Pre-Chorus 1
Perfect	Background Vocals,Repeat/Call and Response Vocals	Chorus 1
Perfect	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Perfect	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Perfect	Background Vocals	Pre-Chorus 2
Perfect	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
Perfect	Background Vocals,Repeat/Call and Response Vocals	Chorus 3
Photograph	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Photograph	Background Vocals	Chorus 1
Photograph	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Photograph	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Photograph	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Photograph	Background Vocals	Chorus 2
Photograph	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
See You Again	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 1
See You Again	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
See You Again	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
See You Again	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
See You Again	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Vocal Break 1
See You Again	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 2
See You Again	Background Vocals	Pre-Chorus 2
Shake It Off	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Laugh	Verse 1
Shake It Off	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Shake It Off	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Bridge 1
Shake It Off	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Verse 2
Shake It Off	Background Vocals	Pre-Chorus 2
Shake It Off	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Shake It Off	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Shut Up And Dance	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Shut Up And Dance	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Shut Up And Dance	Background Vocals	Pre-Chorus 2
Shut Up And Dance	Background Vocals	Pre-Chorus 3
Shut Up And Dance	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Shut Up And Dance	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Shut Up And Dance	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Somebody	Background Vocals,Creatively Sung Vocals	Intro
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 3
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Somebody	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Sorry	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Intro
Sorry	Background Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Verse 1
